Subject Area,Catalogue Number,Instructor Name,Total Enrolled,Average Grade (GPA),Std Dev (GPA)
COM SCI,215     ,"ABARI, OMID",111.0,3.417117117117117,0.47663873298240916
COM SCI,219     ,"ABARI, OMID",68.0,3.5985294117647055,0.42512719448170955
COM SCI,M51A    ,"ABARI, OMID",652.0,3.4352760736196313,0.7776682252533098
LAW    ,446     ,"ABE, GEORGE JIRO",20.0,3.575,0.3284432979982999
MGMT   ,489     ,"ABE, GEORGE JIRO",119.0,3.553781512605042,0.37344409230617687
MGMT   ,458B    ,"ABE, GEORGE JIRO",27.0,3.6518518518518515,0.29485761833326146
MGMT   ,298D    ,"ABE, GEORGE JIRO",38.0,3.5078947368421054,0.3807068073074002
ARCH&UD,403C    ,"ABE, HITOSHI",22.0,3.7590909090909093,0.3113885192446173
LAW    ,261     ,"ABELE, GEORGE WILLIAM",25.0,3.54,0.468187996428785
EC ENGR,111L    ,"ABIDI, ASAD A",60.0,3.546666666666667,0.6996348253831344
EC ENGR,215A    ,"ABIDI, ASAD A",45.0,3.137777777777778,0.4900289736961769
EC ENGR,11L     ,"ABIDI, ASAD A",30.0,3.4,1.0519822558706333
EC ENGR,110H    ,"ABIDI, ASAD A",60.0,3.1850000000000005,0.6896436277769362
EC ENGR,10H     ,"ABIDI, ASAD A",31.0,2.8645161290322583,1.1768049656418047
EC ENGR,215D    ,"ABIDI, ASAD A",37.0,3.394594594594595,0.8073801294831916
EC ENGR,115A    ,"ABIDI, ASAD A",30.0,2.6399999999999997,0.9297311439335568
PUB HLT,200B    ,"ABOTSI-KOWU, CONSUELA M",461.0,3.8869848156182214,0.41102461488669195
PUB HLT,200A    ,"ABOTSI-KOWU, CONSUELA M",467.0,3.8775160599571734,0.3001566993665575
LAW    ,270     ,"ABOU EL FADL, KHALED M",86.0,3.4837209302325585,0.5402110838767756
LAW    ,383     ,"ABOU EL FADL, KHALED M",56.0,3.4357142857142855,0.7241814520617081
LAW    ,338     ,"ABOU EL FADL, KHALED M",16.0,3.3249999999999997,0.9620940702446928
LAW    ,639     ,"ABOU EL FADL, KHALED M",33.0,3.6272727272727274,0.31648900337325847
LAW    ,477     ,"ABOU EL FADL, KHALED M",29.0,3.606896551724138,0.35030138204690475
LAW    ,273     ,"ABOU EL FADL, KHALED M",57.0,3.5578947368421057,0.2907626803564871
HNRS   ,159     ,"ABRAMSON, PAUL R",83.0,3.9337349397590367,0.18450657638962484
HNRS   ,149     ,"ABRAMSON, PAUL R",107.0,3.9046728971962614,0.41813631403635027
HNRS   ,159     ,"ABRAMSON, TANIA L",26.0,3.911538461538461,0.20062771316530734
HNRS   ,149     ,"ABRAMSON, TANIA L",50.0,3.96,0.1469693845669907
CCAS   ,10B     ,"ABREGO, LEISY JANET",401.0,3.8152119700748126,0.46093585540654214
ASIA AM,M168    ,"ABREGO, LEISY JANET",10.0,3.47,0.9423905772024675
CCAS   ,153A    ,"ABREGO, LEISY JANET",81.0,3.5975308641975308,0.7014931708865652
ASIA AM,M18     ,"ABREGO, LEISY JANET",123.0,4.0,0.0
CCAS   ,20      ,"ABREGO, LEISY JANET",177.0,3.642937853107344,0.7212421500963576
CCAS   ,202     ,"ABREGO, LEISY JANET",22.0,3.7454545454545456,0.3070790137100825
CCAS   ,89      ,"ABREGO, LEISY JANET",14.0,3.528571428571429,0.4494895063586364
AF AMER,M18     ,"ABREGO, LEISY JANET",56.0,3.9125,0.29884450089350095
CCAS   ,M18     ,"ABREGO, LEISY JANET",71.0,3.9169014084507046,0.3352467728859006
ANTHRO ,116XP   ,"ACABADO, STEPHEN B",131.0,3.9977099236641225,0.026110887597690167
ANTHRO ,118Q    ,"ACABADO, STEPHEN B",519.0,3.879961464354528,0.35555487106456585
ANTHRO ,116S    ,"ACABADO, STEPHEN B",158.0,3.736708860759494,0.6341898480259744
