Enrollment Term,Subject Area,Catalogue Number,Section Number,Letter Grade,Letter Grade Count,Total Enrolled,Instructor Name,Course Title,Numeric Grade,Year,Quarter,Quarter Order
21F,A&O SCI,1       ,1     ,A+,12,93,"BIANCHI, DANIELE",Climate Change: From Puzzles to Policy,4.0,2021,Fall,4
21F,A&O SCI,1       ,1     ,A,17,93,"BIANCHI, DANIELE",Climate Change: From Puzzles to Policy,4.0,2021,Fall,4
21F,A&O SCI,1       ,1     ,A-,9,93,"BIANCHI, DANIELE",Climate Change: From Puzzles to Policy,3.7,2021,Fall,4
21F,A&O SCI,1       ,1     ,B+,9,93,"BIANCHI, DANIELE",Climate Change: From Puzzles to Policy,3.3,2021,Fall,4
21F,A&O SCI,1       ,1     ,B,8,93,"BIANCHI, DANIELE",Climate Change: From Puzzles to Policy,3.0,2021,Fall,4
21F,A&O SCI,1       ,1     ,B-,7,93,"BIANCHI, DANIELE",Climate Change: From Puzzles to Policy,2.7,2021,Fall,4
21F,A&O SCI,1       ,1     ,C+,4,93,"BIANCHI, DANIELE",Climate Change: From Puzzles to Policy,2.3,2021,Fall,4
21F,A&O SCI,1       ,1     ,C,4,93,"BIANCHI, DANIELE",Climate Change: From Puzzles to Policy,2.0,2021,Fall,4
21F,A&O SCI,1       ,1     ,C-,6,93,"BIANCHI, DANIELE",Climate Change: From Puzzles to Policy,1.7,2021,Fall,4
21F,A&O SCI,1       ,1     ,D+,1,93,"BIANCHI, DANIELE",Climate Change: From Puzzles to Policy,1.3,2021,Fall,4
21F,A&O SCI,1       ,1     ,D-,1,93,"BIANCHI, DANIELE",Climate Change: From Puzzles to Policy,0.7,2021,Fall,4
21F,A&O SCI,1       ,1     ,F,6,93,"BIANCHI, DANIELE",Climate Change: From Puzzles to Policy,0.0,2021,Fall,4
21F,A&O SCI,2       ,1     ,A+,35,87,"LI, QINBIN",Air Pollution,4.0,2021,Fall,4
21F,A&O SCI,2       ,1     ,A,30,87,"LI, QINBIN",Air Pollution,4.0,2021,Fall,4
21F,A&O SCI,2       ,1     ,A-,9,87,"LI, QINBIN",Air Pollution,3.7,2021,Fall,4
21F,A&O SCI,2       ,1     ,B+,3,87,"LI, QINBIN",Air Pollution,3.3,2021,Fall,4
21F,A&O SCI,2       ,1     ,B,2,87,"LI, QINBIN",Air Pollution,3.0,2021,Fall,4
21F,A&O SCI,2       ,1     ,B-,1,87,"LI, QINBIN",Air Pollution,2.7,2021,Fall,4
21F,A&O SCI,2       ,1     ,C+,1,87,"LI, QINBIN",Air Pollution,2.3,2021,Fall,4
21F,A&O SCI,2       ,1     ,C,1,87,"LI, QINBIN",Air Pollution,2.0,2021,Fall,4
21F,A&O SCI,2       ,1     ,C-,1,87,"LI, QINBIN",Air Pollution,1.7,2021,Fall,4
21F,A&O SCI,3       ,1     ,A,40,68,"MITCHELL, JONATHAN LLOYD",Introduction to Atmospheric Environment,4.0,2021,Fall,4
21F,A&O SCI,3       ,1     ,A-,8,68,"MITCHELL, JONATHAN LLOYD",Introduction to Atmospheric Environment,3.7,2021,Fall,4
21F,A&O SCI,3       ,1     ,B+,1,68,"MITCHELL, JONATHAN LLOYD",Introduction to Atmospheric Environment,3.3,2021,Fall,4
21F,A&O SCI,3       ,1     ,B,2,68,"MITCHELL, JONATHAN LLOYD",Introduction to Atmospheric Environment,3.0,2021,Fall,4
21F,A&O SCI,3       ,1     ,B-,2,68,"MITCHELL, JONATHAN LLOYD",Introduction to Atmospheric Environment,2.7,2021,Fall,4
21F,A&O SCI,3       ,1     ,C+,1,68,"MITCHELL, JONATHAN LLOYD",Introduction to Atmospheric Environment,2.3,2021,Fall,4
21F,A&O SCI,3       ,1     ,C-,1,68,"MITCHELL, JONATHAN LLOYD",Introduction to Atmospheric Environment,1.7,2021,Fall,4
21F,A&O SCI,3       ,1     ,D+,1,68,"MITCHELL, JONATHAN LLOYD",Introduction to Atmospheric Environment,1.3,2021,Fall,4
