ENROLLMENT TERM,SUBJECT AREA,CATLG NBR,SECT NBR,GRD OFF,GRD COUNT,ENRL TOT,INSTR NAME,INSTR CD,LONG CRSE TITLE,ENROL TERM SEQ NBR,INTL CATL,INTL SECT,CREATION DATE,ROWNO
21F,A&O SCI,1       ,1     ,A+ ,12,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,1       ,1     ,A  ,17,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,1       ,1     ,A- ,9,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,1       ,1     ,B+ ,9,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,1       ,1     ,B  ,8,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,1       ,1     ,B- ,7,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,1       ,1     ,C+ ,4,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,1       ,1     ,C  ,4,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,1       ,1     ,C- ,6,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,1       ,1     ,D+ ,1,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,1       ,1     ,D- ,1,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,1       ,1     ,F  ,6,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,1       ,1     ,I  ,1,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,1       ,1     ,NP ,2,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,1       ,1     ,P  ,6,93,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,265,0001    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,2       ,1     ,A+ ,35,87,"LI, QINBIN",01,Air Pollution,265,0002    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,2       ,1     ,A  ,30,87,"LI, QINBIN",01,Air Pollution,265,0002    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,2       ,1     ,A- ,9,87,"LI, QINBIN",01,Air Pollution,265,0002    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,2       ,1     ,B+ ,3,87,"LI, QINBIN",01,Air Pollution,265,0002    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,2       ,1     ,B  ,2,87,"LI, QINBIN",01,Air Pollution,265,0002    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,2       ,1     ,B- ,1,87,"LI, QINBIN",01,Air Pollution,265,0002    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,2       ,1     ,C+ ,1,87,"LI, QINBIN",01,Air Pollution,265,0002    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,2       ,1     ,C  ,1,87,"LI, QINBIN",01,Air Pollution,265,0002    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,2       ,1     ,C- ,1,87,"LI, QINBIN",01,Air Pollution,265,0002    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,2       ,1     ,P  ,4,87,"LI, QINBIN",01,Air Pollution,265,0002    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,3       ,1     ,A  ,40,68,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric Environment,265,0003    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,3       ,1     ,A- ,8,68,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric Environment,265,0003    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,3       ,1     ,B+ ,1,68,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric Environment,265,0003    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,3       ,1     ,B  ,2,68,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric Environment,265,0003    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,3       ,1     ,B- ,2,68,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric Environment,265,0003    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,3       ,1     ,C+ ,1,68,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric Environment,265,0003    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,3       ,1     ,C- ,1,68,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric Environment,265,0003    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,3       ,1     ,D+ ,1,68,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric Environment,265,0003    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,3       ,1     ,D- ,1,68,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric Environment,265,0003    , 001  ,Jun  9 2023  2:32PM,1
21F,A&O SCI,3       ,1     ,P  ,11,68,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric Environment,265,0003    , 001  ,Jun  9 2023  2:32PM,1
