ENROLLMENT TERM,SUBJECT AREA,CATLG NBR,SECT NBR,GRD OFF,GRD COUNT,ENRL TOT,INSTR NAME,INSTR CD,LONG CRSE TITLE,ENROL TERM SEQ NBR,INTL CATL,INTL SECT,CREATION DATE,ROWNO
22F,A&O SCI,1       ,1     ,A+ ,6,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1       ,1     ,A  ,19,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1       ,1     ,A- ,14,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1       ,1     ,B+ ,10,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1       ,1     ,B  ,12,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1       ,1     ,B- ,15,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1       ,1     ,C+ ,2,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1       ,1     ,C  ,10,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1       ,1     ,C- ,4,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1       ,1     ,D+ ,7,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1       ,1     ,D  ,1,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1       ,1     ,D- ,1,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1       ,1     ,F  ,2,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1       ,1     ,NP ,4,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1       ,1     ,P  ,3,110,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy,270,0001    , 001  ,Aug 16 2023 12:50PM,1
