enrl_term_cd,subj_area_name,disp_catlg_no,disp_sect_no,grd_cd,num_grd,enrl_tot,instr_nm,instr_func_cd,crs_long_ttl,subj_area_cd,crs_catlg_no,sect_no
231,ATMOSPHERIC AND OCEANIC SCIENCES,2       ,1     ,P  ,1,25,"GONZALEZ, DAVID",01,Air Pollution,A&O SCI,0002    , 001  
231,ATMOSPHERIC AND OCEANIC SCIENCES,2       ,1     ,A+ ,12,25,"GONZALEZ, DAVID",01,Air Pollution,A&O SCI,0002    , 001  
231,ATMOSPHERIC AND OCEANIC SCIENCES,2       ,1     ,A  ,5,25,"GONZALEZ, DAVID",01,Air Pollution,A&O SCI,0002    , 001  
231,ATMOSPHERIC AND OCEANIC SCIENCES,2       ,1     ,NP ,1,25,"GONZALEZ, DAVID",01,Air Pollution,A&O SCI,0002    , 001  
231,ATMOSPHERIC AND OCEANIC SCIENCES,2       ,1     ,A- ,4,25,"GONZALEZ, DAVID",01,Air Pollution,A&O SCI,0002    , 001  
231,ATMOSPHERIC AND OCEANIC SCIENCES,2       ,1     ,B+ ,1,25,"GONZALEZ, DAVID",01,Air Pollution,A&O SCI,0002    , 001  
231,ATMOSPHERIC AND OCEANIC SCIENCES,2       ,1     ,C  ,1,25,"GONZALEZ, DAVID",01,Air Pollution,A&O SCI,0002    , 001  
231,AFRICAN AMERICAN STUDIES,1       ,1     ,A+ ,54,151,"EDU, UGO FELICIA",01,Introduction to Black Studies,AF AMER,0001    , 001  
231,AFRICAN AMERICAN STUDIES,1       ,1     ,P  ,3,151,"EDU, UGO FELICIA",01,Introduction to Black Studies,AF AMER,0001    , 001  
231,AFRICAN AMERICAN STUDIES,1       ,1     ,S  ,1,151,"EDU, UGO FELICIA",01,Introduction to Black Studies,AF AMER,0001    , 001  
231,AFRICAN AMERICAN STUDIES,1       ,1     ,A  ,56,151,"EDU, UGO FELICIA",01,Introduction to Black Studies,AF AMER,0001    , 001  
231,AFRICAN AMERICAN STUDIES,1       ,1     ,A- ,13,151,"EDU, UGO FELICIA",01,Introduction to Black Studies,AF AMER,0001    , 001  
231,AFRICAN AMERICAN STUDIES,1       ,1     ,B+ ,16,151,"EDU, UGO FELICIA",01,Introduction to Black Studies,AF AMER,0001    , 001  
231,AFRICAN AMERICAN STUDIES,1       ,1     ,B  ,3,151,"EDU, UGO FELICIA",01,Introduction to Black Studies,AF AMER,0001    , 001  
231,AFRICAN AMERICAN STUDIES,1       ,1     ,B- ,2,151,"EDU, UGO FELICIA",01,Introduction to Black Studies,AF AMER,0001    , 001  
231,AFRICAN AMERICAN STUDIES,1       ,1     ,C+ ,1,151,"EDU, UGO FELICIA",01,Introduction to Black Studies,AF AMER,0001    , 001  
231,AFRICAN AMERICAN STUDIES,1       ,1     ,F  ,2,151,"EDU, UGO FELICIA",01,Introduction to Black Studies,AF AMER,0001    , 001  
231,AFRICAN AMERICAN STUDIES,6       ,1     ,A+ ,7,59,"STREETER, CAROLINE ANNE",01,Trends in Black Intellectual Thought,AF AMER,0006    , 001  
231,AFRICAN AMERICAN STUDIES,6       ,1     ,A  ,25,59,"STREETER, CAROLINE ANNE",01,Trends in Black Intellectual Thought,AF AMER,0006    , 001  
231,AFRICAN AMERICAN STUDIES,6       ,1     ,A- ,7,59,"STREETER, CAROLINE ANNE",01,Trends in Black Intellectual Thought,AF AMER,0006    , 001  
231,AFRICAN AMERICAN STUDIES,6       ,1     ,B+ ,7,59,"STREETER, CAROLINE ANNE",01,Trends in Black Intellectual Thought,AF AMER,0006    , 001  
231,AFRICAN AMERICAN STUDIES,6       ,1     ,B  ,9,59,"STREETER, CAROLINE ANNE",01,Trends in Black Intellectual Thought,AF AMER,0006    , 001  
